ID	type	start	end	strand	locus_tag	symbol	entrezID
gene-Cj1155c	protein_coding	1085907	1088264	-	Cj1155c	Cj1155c	905445
gene-5UTR_Cj1155c	5UTR	1088265	1088330	-	Cj1155c	5UTR_Cj1155c	0
gene-5UTR_Cj1156	5UTR	1088335	1088372	+	Cj1156	5UTR_Cj1156	0
gene-Cj1156	protein_coding	1088373	1089671	+	Cj1156	rho	905446
gene-Cj1157	protein_coding	1089675	1091204	+	Cj1157	dnaX	905447
gene-Cj0101	protein_coding	109105	109941	+	Cj0101	Cj0101	904366
gene-Cj1158c	protein_coding	1091201	1091428	-	Cj1158c	Cj1158c	905448
gene-Cj1159c	protein_coding	1091407	1091529	-	Cj1159c	Cj1159c	905449
gene-Cj1160c	protein_coding	1091544	1091723	-	Cj1160c	Cj1160c	905450
gene-5UTR_Cj1160c	5UTR	1091724	1091751	-	Cj1160c	5UTR_Cj1160c	0
gene-Cj1161c	protein_coding	1091795	1093894	-	Cj1161c	Cj1161c	905451
gene-Cj1162c	protein_coding	1093894	1094088	-	Cj1162c	Cj1162c	905452
gene-Cj1163c	protein_coding	1094078	1095028	-	Cj1163c	Cj1163c	905453
gene-Cj1164c	protein_coding	1095104	1095367	-	Cj1164c	Cj1164c	905454
gene-5UTR_Cj1164c	5UTR	1095368	1095393	-	Cj1164c	5UTR_Cj1164c	0
gene-Cj1165c	protein_coding	1095437	1095931	-	Cj1165c	Cj1165c	905455
gene-Cj1166c	protein_coding	1095928	1096704	-	Cj1166c	Cj1166c	905456
gene-Cj1167	protein_coding	1096771	1097697	+	Cj1167	ldh	905457
gene-Cj1168c	protein_coding	1097694	1098296	-	Cj1168c	Cj1168c	905458
gene-5UTR_Cj1168c	5UTR	1098297	1098322	-	Cj1168c	5UTR_Cj1168c	0
gene-Cj1169c	protein_coding	1098377	1098604	-	Cj1169c	Cj1169c	905459
gene-5UTR_Cj1169c	5UTR	1098605	1098619	-	Cj1169c	5UTR_Cj1169c	0
gene-Cj1170c	protein_coding	1098615	1100036	-	Cj1170c	omp50	905460
gene-5UTR_Cj0102	5UTR	109977	110001	+	Cj0102	5UTR_Cj0102	0
gene-Cj0102	protein_coding	110002	110427	+	Cj0102	atpF'	904431
gene-5UTR_Cj1170c	5UTR	1100037	1100081	-	Cj1170c	5UTR_Cj1170c	0
gene-Cj1171c	protein_coding	1100192	1100674	-	Cj1171c	ppi	905461
gene-Cj1172c	protein_coding	1100684	1101391	-	Cj1172c	Cj1172c	905462
gene-5UTR_Cj1172c	5UTR	1101392	1101422	-	Cj1172c	5UTR_Cj1172c	0
gene-Cj1173	protein_coding	1101500	1101841	+	Cj1173	Cj1173	905463
gene-Cj1174	protein_coding	1101841	1102149	+	Cj1174	Cj1174	905464
gene-Cj1175c	protein_coding	1102167	1103759	-	Cj1175c	argS	905465
gene-Cj1176c	protein_coding	1103771	1104010	-	Cj1176c	tatA	905466
gene-5UTR_Cj1176c	5UTR	1104011	1104199	-	Cj1176c	5UTR_Cj1176c	0
gene-Cj1177c	protein_coding	1104012	1104635	-	Cj1177c	gmk	905467
gene-Cj0103	protein_coding	110438	110950	+	Cj0103	atpF	904432
gene-Cj1178c	protein_coding	1104632	1106260	-	Cj1178c	Cj1178c	905468
gene-5UTR_Cj1178c	5UTR	1106261	1106283	-	Cj1178c	5UTR_Cj1178c	0
gene-Cj1179c	protein_coding	1106317	1107084	-	Cj1179c	fliR	905469
gene-Cj1180c	protein_coding	1107071	1107706	-	Cj1180c	Cj1180c	905470
gene-Cj1181c	protein_coding	1107719	1108792	-	Cj1181c	tsf	905471
gene-Cj1182c	protein_coding	1108792	1109583	-	Cj1182c	rpsB	905472
gene-Cj0104	protein_coding	110953	111474	+	Cj0104	atpH	904434
gene-5UTR_Cj1182c	5UTR	1109584	1109667	-	Cj1182c	5UTR_Cj1182c	0
gene-Cj1183c	protein_coding	1109699	1110862	-	Cj1183c	cfa	905473
gene-5UTR_Cj1183c	5UTR	1110863	1111049	-	Cj1183c	5UTR_Cj1183c	0
gene-Cj1184c	protein_coding	1110990	1112114	-	Cj1184c	petC	905474
gene-Cj1185c	protein_coding	1112111	1113361	-	Cj1185c	petB	905475
gene-Cj1186c	protein_coding	1113363	1113866	-	Cj1186c	petA	905476
gene-5UTR_Cj1186c	5UTR	1113867	1113898	-	Cj1186c	5UTR_Cj1186c	0
gene-Cj1187c	protein_coding	1113956	1115242	-	Cj1187c	arsB	905477
gene-Cj0105	protein_coding	111488	112993	+	Cj0105	atpA	904435
gene-Cj1188c	protein_coding	1115243	1117102	-	Cj1188c	gidA	905478
gene-5UTR_Cj1187c	5UTR	1115243	1115470	-	Cj1187c	5UTR_Cj1187c	0
gene-5UTR_Cj1188c	5UTR	1117103	1117137	-	Cj1188c	5UTR_Cj1188c	0
gene-Cj1189c	protein_coding	1117190	1117687	-	Cj1189c	cetB	905479
gene-Cj1190c	protein_coding	1117705	1119084	-	Cj1190c	cetA	905480
gene-5UTR_Cj1190c	5UTR	1119085	1119165	-	Cj1190c	5UTR_Cj1190c	0
gene-Cj1191c	protein_coding	1119205	1119699	-	Cj1191c	Cj1191c	905481
gene-5UTR_Cj1191c	5UTR	1119700	1119738	-	Cj1191c	5UTR_Cj1191c	0
gene-Cj1192	protein_coding	1119968	1121344	+	Cj1192	dctA	905482
gene-Cj1193c	protein_coding	1121341	1122147	-	Cj1193c	Cj1193c	905483
gene-5UTR_Cj1193c	5UTR	1122148	1122179	-	Cj1193c	5UTR_Cj1193c	0
gene-Cj1194	protein_coding	1122289	1123815	+	Cj1194	Cj1194	905484
gene-Cj1195c	protein_coding	1123823	1125001	-	Cj1195c	pyrC2	905485
gene-Cj1196c	protein_coding	1125011	1125907	-	Cj1196c	gpsA	905486
gene-Cj1197c	protein_coding	1125904	1127322	-	Cj1197c	gatB	905487
gene-5UTR_Cj1197c	5UTR	1127323	1127345	-	Cj1197c	5UTR_Cj1197c	0
gene-5UTR_Cj1198	5UTR	1127413	1127436	+	Cj1198	5UTR_Cj1198	0
gene-Cj1198	protein_coding	1127437	1127931	+	Cj1198	Cj1198	905488
gene-sRNA_CJnc110	sRNA	1127994	1128130	+	CJnc110	sRNA_CJnc110	0
gene-Cj1199	protein_coding	1128243	1129235	+	Cj1199	Cj1199	905489
gene-Cj1200	protein_coding	1129228	1130016	+	Cj1200	Cj1200	905490
gene-Cj0106	protein_coding	113002	113886	+	Cj0106	atpG	904436
gene-Cj1201	protein_coding	1130028	1132292	+	Cj1201	metE	905491
gene-5UTR_Cj1202	5UTR	1132203	1132301	+	Cj1202	5UTR_Cj1202	0
gene-Cj1202	protein_coding	1132302	1133150	+	Cj1202	metF	905492
gene-Cj1203c	protein_coding	1133172	1133363	-	Cj1203c	Cj1203c	905493
gene-Cj1204c	protein_coding	1133360	1134040	-	Cj1204c	atpB	905494
gene-5UTR_Cj1204c	5UTR	1134041	1134067	-	Cj1204c	5UTR_Cj1204c	0
gene-Cj1205c	protein_coding	1134109	1135449	-	Cj1205c	radA	905495
gene-Cj1206c	protein_coding	1135449	1136315	-	Cj1206c	ftsY	905496
gene-Cj1207c	protein_coding	1136315	1136872	-	Cj1207c	Cj1207c	905497
gene-5UTR_Cj1207c	5UTR	1136873	1136906	-	Cj1207c	5UTR_Cj1207c	0
gene-5UTR_Cj1208	5UTR	1136921	1136954	+	Cj1208	5UTR_Cj1208	0
gene-Cj1208	protein_coding	1136955	1137581	+	Cj1208	Cj1208	905498
gene-5UTR_Cj0107	5UTR	113705	113911	+	Cj0107	5UTR_Cj0107	0
gene-5UTR_Cj1209	5UTR	1137210	1137501	+	Cj1209	5UTR_Cj1209	0
gene-Cj1209	protein_coding	1137502	1139055	+	Cj1209	Cj1209	905499
gene-Cj1210	protein_coding	1139064	1139621	+	Cj1210	Cj1210	905500
gene-Cj0107	protein_coding	113912	115309	+	Cj0107	atpD	904437
gene-Cj1211	protein_coding	1139621	1140880	+	Cj1211	Cj1211	905501
gene-Cj1212c	protein_coding	1140824	1141630	-	Cj1212c	rbn	905502
gene-Cj1213c	protein_coding	1141634	1143016	-	Cj1213c	glcD	905503
gene-Cj1214c	protein_coding	1143019	1143744	-	Cj1214c	Cj1214c	905504
gene-5UTR_Cj1214c	5UTR	1143745	1143791	-	Cj1214c	5UTR_Cj1214c	0
gene-5UTR_Cj1215	5UTR	1143826	1143865	+	Cj1215	5UTR_Cj1215	0
gene-Cj1215	protein_coding	1143866	1145026	+	Cj1215	Cj1215	905505
gene-Cj1216c	protein_coding	1145023	1145226	-	Cj1216c	Cj1216c	905506
gene-Cj1217c	protein_coding	1145228	1145908	-	Cj1217c	Cj1217c	905507
gene-Cj1218c	protein_coding	1145872	1146483	-	Cj1218c	ribA	905508
gene-Cj1219c	protein_coding	1146492	1149032	-	Cj1219c	Cj1219c	905509
gene-5UTR_Cj1219c	5UTR	1149033	1149261	-	Cj1219c	5UTR_Cj1219c	0
gene-5UTR_Cj1220	5UTR	1149145	1149193	+	Cj1220	5UTR_Cj1220	0
gene-Cj1220	protein_coding	1149194	1149454	+	Cj1220	groES	905510
gene-Cj1221	protein_coding	1149475	1151112	+	Cj1221	groEL	905511
gene-sRNA_CJnc120	sRNA	1151053	1151149	+	CJnc120	sRNA_CJnc120	0
gene-Cj1222c	protein_coding	1151155	1152345	-	Cj1222c	dccS	905512
gene-Cj1223c	protein_coding	1152338	1153003	-	Cj1223c	dccR	905513
gene-5UTR_Cj1223c	5UTR	1153004	1153039	-	Cj1223c	5UTR_Cj1223c	0
gene-5UTR_Cj1224	5UTR	1153120	1153150	+	Cj1224	5UTR_Cj1224	0
gene-Cj0108	protein_coding	115313	115702	+	Cj0108	atpC	904438
gene-Cj1224	protein_coding	1153151	1153750	+	Cj1224	Cj1224	905514
gene-Cj1225	protein_coding	1153761	1154009	+	Cj1225	Cj1225	905515
gene-Cjp22	tRNA	1154100	1154174	-	Cjp22	tRNAAsn	0
gene-Cj1226c	protein_coding	1154267	1155514	-	Cj1226c	Cj1226c	905517
gene-Cj1227c	protein_coding	1155511	1156185	-	Cj1227c	Cj1227c	905518
gene-5UTR_Cj1227c	5UTR	1156186	1156207	-	Cj1227c	5UTR_Cj1227c	0
gene-Cj1228c	protein_coding	1156261	1157679	-	Cj1228c	htrA	905519
gene-Cj0109	protein_coding	115702	116256	+	Cj0109	exbB3	904439
gene-5UTR_Cj1228c	5UTR	1157680	1157731	-	Cj1228c	5UTR_Cj1228c	0
gene-5UTR_Cj1229	5UTR	1157840	1157878	+	Cj1229	5UTR_Cj1229	0
gene-Cj1229	protein_coding	1157879	1158772	+	Cj1229	cbpA	905520
gene-Cj1230	protein_coding	1158788	1159162	+	Cj1230	hspR	905521
gene-Cj1231	protein_coding	1159168	1160793	+	Cj1231	kefB	905522
gene-Cj1232	protein_coding	1160803	1161135	+	Cj1232	Cj1232	905523
gene-Cj1233	protein_coding	1161132	1161752	+	Cj1233	Cj1233	905524
gene-5UTR_Cj1234	5UTR	1161785	1161807	+	Cj1234	5UTR_Cj1234	0
gene-Cj1234	protein_coding	1161808	1163802	+	Cj1234	glyS	905525
gene-Cj0110	protein_coding	116265	116654	+	Cj0110	exbD3	904440
gene-Cj1235	protein_coding	1163799	1164620	+	Cj1235	Cj1235	905526
gene-Cj1236	protein_coding	1164617	1165567	+	Cj1236	Cj1236	905527
gene-Cj1237c	protein_coding	1165564	1166538	-	Cj1237c	Cj1237c	905528
gene-5UTR_Cj1237c	5UTR	1166539	1166560	-	Cj1237c	5UTR_Cj1237c	0
gene-Cj0111	protein_coding	116657	117436	+	Cj0111	Cj0111	904442
gene-5UTR_Cj1238	5UTR	1166572	1166593	+	Cj1238	5UTR_Cj1238	0
gene-Cj1238	protein_coding	1166594	1167367	+	Cj1238	pdxJ	905529
gene-Cj1239	protein_coding	1167364	1168458	+	Cj1239	pdxA	905530
gene-Cj1240c	protein_coding	1168448	1169050	-	Cj1240c	Cj1240c	905531
gene-5UTR_Cj1240c	5UTR	1169051	1169258	-	Cj1240c	5UTR_Cj1240c	0
gene-5UTR_Cj1241	5UTR	1169137	1169162	+	Cj1241	5UTR_Cj1241	0
gene-Cj1241	protein_coding	1169163	1170362	+	Cj1241	Cj1241	905532
gene-5UTR_Cj1242	5UTR	1170393	1170417	+	Cj1242	5UTR_Cj1242	0
gene-Cj1242	protein_coding	1170418	1170738	+	Cj1242	Cj1242	905533
gene-5UTR_Cj1243	5UTR	1170905	1170921	+	Cj1243	5UTR_Cj1243	0
gene-Cj1243	protein_coding	1170922	1171944	+	Cj1243	hemE	905534
gene-Cj1244	protein_coding	1171941	1172843	+	Cj1244	Cj1244	905535
gene-Cj1245c	protein_coding	1172840	1174036	-	Cj1245c	Cj1245c	905536
gene-5UTR_Cj1245c	5UTR	1174037	1174264	-	Cj1245c	5UTR_Cj1245c	0
gene-Cj1246c	protein_coding	1174038	1175840	-	Cj1246c	uvrC	905537
gene-Cj0112	protein_coding	117446	118654	+	Cj0112	tolB	904443
gene-Cj1247c	protein_coding	1175833	1176327	-	Cj1247c	Cj1247c	905538
gene-5UTR_Cj1247c	5UTR	1176327	1176327	-	Cj1247c	5UTR_Cj1247c	0
gene-Cj1248	protein_coding	1176466	1178001	+	Cj1248	guaA	905539
gene-5UTR_Cj1249	5UTR	1178066	1178086	+	Cj1249	5UTR_Cj1249	0
gene-Cj1249	protein_coding	1178087	1179547	+	Cj1249	Cj1249	905540
gene-sRNA_6S_RNA	sRNA	1179587	1179772	+	6S_RNA	sRNA_6S_RNA	0
gene-sRNA_pRNA	sRNA	1179610	1179623	-	pRNA	sRNA_pRNA	0
gene-Cj1250	protein_coding	1179787	1181037	+	Cj1250	purD	905541
gene-Cj1251	protein_coding	1181034	1181486	+	Cj1251	Cj1251	905542
gene-Cj1252	protein_coding	1181476	1183524	+	Cj1252	Cj1252	905543
gene-Cj1253	protein_coding	1183594	1185753	+	Cj1253	pnp	905544
gene-Cj1254	protein_coding	1185750	1186232	+	Cj1254	Cj1254	905545
gene-Cj1255	protein_coding	1186290	1186499	+	Cj1255	Cj1255	905546
gene-Cj1256c	protein_coding	1186496	1187158	-	Cj1256c	Cj1256c	905547
gene-5UTR_Cj0113	5UTR	118705	118730	+	Cj0113	5UTR_Cj0113	0
gene-Cj1257c	protein_coding	1187176	1188360	-	Cj1257c	Cj1257c	905548
gene-Cj0113	protein_coding	118731	119228	+	Cj0113	pal	904444
gene-5UTR_Cj1257c	5UTR	1188360	1188360	-	Cj1257c	5UTR_Cj1257c	0
gene-5UTR_Cj1258	5UTR	1188384	1188413	+	Cj1258	5UTR_Cj1258	0
gene-Cj1258	protein_coding	1188414	1188869	+	Cj1258	Cj1258	905549
gene-sRNA_CJnc140	sRNA	1188925	1188997	+	CJnc140	sRNA_CJnc140	0
gene-5UTR_Cj1259	5UTR	1189090	1189120	+	Cj1259	5UTR_Cj1259	0
gene-Cj1259	protein_coding	1189121	1190395	+	Cj1259	porA	905550
gene-Cj1260c	protein_coding	1190510	1191631	-	Cj1260c	dnaJ	905551
gene-5UTR_Cj1260c	5UTR	1191632	1191691	-	Cj1260c	5UTR_Cj1260c	0
gene-5UTR_Cj1261	5UTR	1191758	1191787	+	Cj1261	5UTR_Cj1261	0
gene-Cj1261	protein_coding	1191788	1192459	+	Cj1261	racR	905552
gene-Cj0114	protein_coding	119232	120179	+	Cj0114	Cj0114	904445
gene-Cj1262	protein_coding	1192456	1193691	+	Cj1262	racS	905553
gene-Cj1263	protein_coding	1193691	1194263	+	Cj1263	recR	905554
gene-Cj1264c	protein_coding	1194260	1194796	-	Cj1264c	hydD	905555
gene-Cj1265c	protein_coding	1194793	1195485	-	Cj1265c	hydC	905556
gene-Cj1266c	protein_coding	1195496	1197211	-	Cj1266c	hydB	905557
gene-Cj1267c	protein_coding	1197214	1198353	-	Cj1267c	hydA	905558
gene-5UTR_Cj1267c	5UTR	1198354	1198385	-	Cj1267c	5UTR_Cj1267c	0
gene-Cj1268c	protein_coding	1198474	1200315	-	Cj1268c	mnmC	905559
gene-Cj1269c	protein_coding	1200312	1202291	-	Cj1269c	amiA	905560
gene-Cj0115	protein_coding	120194	120763	+	Cj0115	slyD	904446
gene-Cj1270c	protein_coding	1202291	1203382	-	Cj1270c	Cj1270c	905561
gene-Cj1271c	protein_coding	1203379	1204584	-	Cj1271c	tyrS	905562
gene-Cj1272c	protein_coding	1204596	1206791	-	Cj1272c	spoT	905563
