# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	name	symbol	locus_tag	feature_interval_length	product_length	chromosome_name
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	16739	17290	-	EAQ71904.2	rubrerythrin	rbr	CJJ81176_0038	552	183.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	17546	19222	+	EAQ72020.1	dihydroxy-acid dehydratase	ilvD	CJJ81176_0039	1677	558.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	19234	19383	-	EAQ71950.1	inner membrane protein YagU		CJJ81176_0040	150	49.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	19349	19630	-	EAQ72010.1	membrane protein, putative, degenerate		CJJ81176_0041	282	93.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	19722	20948	-	EAQ71969.1	hypothetical protein		CJJ81176_0042	1227	408.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	21025	21699	+	EAQ71929.1	exsB protein		CJJ81176_0043	675	224.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	21720	23246	-	EAQ71919.1	disulfide bond formation protein, DsbB family		CJJ81176_0044	1527	508.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	23258	23425	-	EAQ71971.1	hypothetical protein		CJJ81176_0045	168	55.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	23531	25285	-	EAQ71906.2	methyl-accepting chemotaxis protein		CJJ81176_0046	1755	584.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	25299	26213	-	EAQ71899.1	cytochrome c551 peroxidase	ccpA-1	CJJ81176_0047	915	304.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	26277	27155	-	EAQ71978.1	fumarylacetoacetate hydrolase family protein		CJJ81176_0048	879	292.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	27267	28169	-	EAQ72031.2	RNA pseudouridine synthase family protein		CJJ81176_0049	903	300.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	28247	29575	+	EAQ71984.1	adenylosuccinate lyase	purB-1	CJJ81176_0050	1329	442.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	29591	31960	+	EAQ71983.1	ribonucleoside-diphosphate reductase, alpha subunit	nrdA	CJJ81176_0051	2370	789.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	31999	33384	-	EAQ72029.1	sodium/dicarboxylate symporter		CJJ81176_0052	1386	461.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	33504	34127	-	EAQ71986.1	thymidylate synthase, flavin-dependent	thyX	CJJ81176_0053	624	207.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	34247	35878	+	EAQ72004.1	CTP synthase	pyrG	CJJ81176_0054	1632	543.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	35865	37436	+	EAQ71903.1	single-stranded-DNA-specific exonuclease RecJ	recJ	CJJ81176_0055	1572	523.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	37522	38568	+	EAQ71964.1	L-asparaginase	ansA	CJJ81176_0056	1047	348.0	CP000538.1
rRNA		GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	39155	40667	+		16S ribosomal RNA	rrsA	CJJ81176_1704	1513		CP000538.1
tRNA		GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	40772	40847	+		tRNA-Ala		CJJ81176_1705	76		CP000538.1
tRNA		GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	40856	40932	+		tRNA-Ile		CJJ81176_1706	77		CP000538.1
rRNA		GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	41513	44306	+		23S ribosomal RNA	rrlA	CJJ81176_1707	2794		CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	44542	44694	-	EAQ71914.1	hypothetical protein		CJJ81176_0061	153	50.0	CP000538.1
rRNA		GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	44720	44839	+		5S ribosomal RNA	rrfA	CJJ81176_1708	120		CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	45264	47234	+	EAQ71979.1	hypothetical protein		CJJ81176_0063	1971	656.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	47275	49344	+	EAQ72022.1	cytochrome c family protein		CJJ81176_0064	2070	689.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	49388	49972	+	EAQ71952.1	hypothetical protein		CJJ81176_0065	585	194.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	49965	52670	+	EAQ72011.1	cytochrome c biogenesis protein		CJJ81176_0066	2706	901.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	52705	54375	-	EAQ71956.1	gamma-glutamyltransferase	ggt	CJJ81176_0067	1671	556.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	54605	58339	+	EAQ71930.1	type II restriction-modification enzyme		CJJ81176_0068	3735	1244.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	58339	59223	+	EAQ71988.1	hypothetical protein		CJJ81176_0069	885	294.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	59461	60903	+	EAQ72027.1	transglycosylase domain protein		CJJ81176_0070	1443	480.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	61018	62559	+	EAQ71957.1	putative integral membrane protein		CJJ81176_0071	1542	513.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	62588	63289	-	EAQ71928.1	hypothetical protein		CJJ81176_0072	702	233.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	63276	64487	-	EAQ71913.1	drug resistance transporter, Bcr/CflA family		CJJ81176_0073	1212	403.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	64590	65939	+	EAQ71953.1	hypothetical protein		CJJ81176_0074	1350	449.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	65963	67006	-	EAQ72013.1	cytochrome c family protein		CJJ81176_0075	1044	347.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	67184	67831	-	EAQ72001.1	hypothetical protein		CJJ81176_0076	648	215.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	67831	69639	-	EAQ71966.1	GTP-binding protein TypA	typA	CJJ81176_0077	1809	602.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	69774	70097	+	EAQ71921.1	hypothetical protein		CJJ81176_0078	324	107.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	70117	71946	+	EAQ71975.1	hypothetical protein		CJJ81176_0079	1830	609.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	72000	72884	+	EAQ71927.1	flagellar hook assembly protein	flgD	CJJ81176_0080	885	294.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	72888	74525	+	EAQ72017.1	flagellar hook protein	flgE-1	CJJ81176_0081	1638	545.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	74529	76397	-	EAQ71922.1	hypothetical protein		CJJ81176_0082	1869	622.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	76682	77116	-	EAQ71934.1	hypothetical protein		CJJ81176_0083	435	144.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	77645	77764	+	EAQ71985.1	hypothetical protein		CJJ81176_0084	120	39.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	77987	78322	+	EAQ71933.1	anion transporter		CJJ81176_0085	336	111.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	78274	78453	+	EAQ71970.1	anion transporter		CJJ81176_0086	180	59.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	78413	78604	+	EAQ72014.1	2-oxoglutarate/malate translocator		CJJ81176_0087	192	63.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	78615	78782	+	EAQ71958.1	anion transporter		CJJ81176_0088	168	55.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	78801	79151	+	EAQ71937.1	2-oxoglutarate/malate translocator		CJJ81176_0089	351	116.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	79179	80195	-	EAQ72009.1	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	trmU	CJJ81176_0090	1017	338.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	80195	80800	-	EAQ71940.1	lysine decarboxylase family protein		CJJ81176_0091	606	201.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	80921	81709	-	EAQ72019.1	hypothetical protein		CJJ81176_0092	789	262.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	81723	82316	-	EAQ72008.1	hypothetical protein		CJJ81176_0093	594	197.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	82860	83504	+	EAQ71954.1	hmcD domain protein		CJJ81176_0094	645	214.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	83489	83692	+	EAQ72024.1	peptidase family protein		CJJ81176_0095	204	67.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	83698	84087	+	EAQ71996.1	peptidase family protein		CJJ81176_0096	390	129.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	84136	84957	-	EAQ71980.2	flagellar motor switch protein	fliY	CJJ81176_0097	822	273.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	84975	86054	-	EAQ71948.1	flagellar motor switch protein FliM	fliM	CJJ81176_0098	1080	359.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	86054	86746	-	EAQ71961.1	RNA polymerase sigma factor, sigma-F	fliA	CJJ81176_0099	693	230.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	86727	87083	-	EAQ71909.1	membrane protein, putative		CJJ81176_0100	357	118.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	87102	87968	-	EAQ71939.1	ATPase, ParA family		CJJ81176_0101	867	288.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	87961	89415	-	EAQ72000.1	flagellar biosynthetic protein FlhF	flhF	CJJ81176_0102	1455	484.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	89425	89898	-	EAQ71898.1	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	folK	CJJ81176_0103	474	157.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	89901	90380	-	EAQ71994.1	3-dehydroquinate dehydratase, type II	aroQ	CJJ81176_0104	480	159.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	90471	91700	+	EAQ72016.1	amidohydrolase family protein		CJJ81176_0105	1230	409.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	91688	92584	+	EAQ71972.1	signal peptide peptidase SppA, 36K type	sppA	CJJ81176_0106	897	298.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	92663	93694	+	EAQ72033.1	hypothetical protein		CJJ81176_0107	1032	343.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	93707	93829	+	ABM55253.1	hypothetical protein		CJJ81176_1709	123	40.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	93936	94052	-	EAQ71911.2	non-heme iron protein, hemerythrin family		CJJ81176_0108	117	38.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	94262	94558	-	EAQ71946.2	conserved hypothetical protein, authentic frameshift		CJJ81176_0109	297	98.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	94731	95387	-	EAQ72018.1	hypothetical protein		CJJ81176_0110	657	218.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	95380	96819	-	EAQ71935.1	iron-sulfur cluster binding protein		CJJ81176_0111	1440	479.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	96816	97556	-	EAQ72003.1	cysteine-rich domain protein		CJJ81176_0112	741	246.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	97679	99361	-	EAQ71943.1	L-lactate permease	lctP	CJJ81176_0113	1683	560.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	99533	100102	-	EAQ72030.1	cytolethal distending toxin, subunit C	cdtC	CJJ81176_0114	570	189.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	100113	100910	-	EAQ71976.1	cytolethal distending toxin, subunit B	cdtB	CJJ81176_0115	798	265.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	100907	101713	-	EAQ71960.1	cytolethal distending toxin, subunit A	cdtA	CJJ81176_0116	807	268.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	101790	102059	+	EAQ72012.2	hypothetical protein		CJJ81176_0117	270	89.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	102060	103622	+	EAQ71902.1	cytochrome d ubiquinol oxidase, subunit I	cydA	CJJ81176_0118	1563	520.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	103622	104746	+	EAQ72028.1	cytochrome d ubiquinol oxidase, subunit II	cydB	CJJ81176_0119	1125	374.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	104940	105635	-	EAQ71998.1	aspartate racemase, putative		CJJ81176_0120	696	231.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	105755	106450	-	EAQ71923.1	uracil-DNA glycosylase	ung	CJJ81176_0121	696	231.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	106721	108127	+	EAQ71907.1	aspartate ammonia-lyase	aspA	CJJ81176_0122	1407	468.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	108153	109481	+	EAQ71951.2	anaerobic C4-dicarboxylate membrane transporter DcuA	dcuA	CJJ81176_0123	1329	442.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	109589	110950	+	EAQ71917.1	lipoprotein, putative		CJJ81176_0124	1362	453.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	110960	111328	+	EAQ71997.1	lipoprotein, putative		CJJ81176_0125	369	122.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	111352	111975	+	EAQ71932.1	lipoprotein, putative		CJJ81176_0126	624	207.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	112057	113394	+	EAQ71999.1	hypothetical protein		CJJ81176_0127	1338	445.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	113404	114606	+	EAQ71959.1	hypothetical protein		CJJ81176_0128	1203	400.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	114765	115073	+	EAQ71924.1	ribosomal protein L21	rplU	CJJ81176_0129	309	102.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	115084	115338	+	EAQ71977.1	ribosomal protein L27	rpmA	CJJ81176_0130	255	84.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	115444	116514	+	EAQ71968.1	GTP-binding protein, GTP1/Obg family		CJJ81176_0131	1071	356.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	116566	117357	+	EAQ71967.2	glutamate 5-kinase	proB	CJJ81176_0132	792	263.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	117431	118348	+	EAQ72025.1	methionyl-tRNA formyltransferase	fmt	CJJ81176_0133	918	305.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	118311	118964	+	EAQ71944.1	biotin--acetyl-CoA-carboxylase ligase		CJJ81176_0134	654	217.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	118961	119746	+	EAQ72034.1	chromosome partitioning protein, ParA family		CJJ81176_0135	786	261.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	119752	120588	+	EAQ71995.1	chromosome partitioning protein, ParB family		CJJ81176_0136	837	278.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	120649	121074	+	EAQ71900.1	ATP synthase F0, B' subunit		CJJ81176_0137	426	141.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	121085	121597	+	EAQ71965.1	ATP synthase F0, B' subunit		CJJ81176_0138	513	170.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	121600	122121	+	EAQ71908.1	ATP synthase F1, delta subunit	atpH	CJJ81176_0139	522	173.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	122135	123640	+	EAQ71942.1	ATP synthase F1, alpha subunit	atpA	CJJ81176_0140	1506	501.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	123649	124533	+	EAQ71920.1	ATP synthase F1, gamma subunit	atpG	CJJ81176_0141	885	294.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	124558	125955	+	EAQ71910.1	ATP synthase F1, beta subunit	atpD	CJJ81176_0142	1398	465.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	125959	126348	+	EAQ71973.1	ATP synthase F1, epsilon subunit	atpC	CJJ81176_0143	390	129.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	126348	126902	+	EAQ71938.1	MotA/TolQ/ExbB proton channel family protein		CJJ81176_0144	555	184.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	126911	127300	+	EAQ72026.1	TonB system transport protein ExbD, putative		CJJ81176_0145	390	129.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	127303	128082	+	EAQ71987.2	TonB domain protein		CJJ81176_0146	780	259.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	128092	129300	+	EAQ72978.1	tolB protein, putative		CJJ81176_0147	1209	402.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	129377	129874	+	EAQ73298.1	peptidoglycan-associated lipoprotein Omp18		CJJ81176_0148	498	165.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	129878	130825	+	EAQ73189.1	hypothetical protein		CJJ81176_0149	948	315.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	130840	131415	+	EAQ73020.1	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	slyD	CJJ81176_0150	576	191.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	131415	132335	+	EAQ73063.2	malonyl CoA-acyl carrier protein transacylase	fabD	CJJ81176_0151	921	306.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	132335	133021	+	EAQ72979.1	MTA/SAH nucleosidase	mtnA	CJJ81176_0152	687	228.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	133018	133773	+	EAQ73149.1	PP-loop family protein		CJJ81176_0153	756	251.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	133778	134299	+	EAQ73374.1	pyrazinamidase/nicotinamidase, putative		CJJ81176_0154	522	173.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	134299	134913	+	EAQ72994.1	hypothetical protein		CJJ81176_0155	615	204.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	134910	135314	+	EAQ73238.1	conserved hypothetical protein TIGR00043		CJJ81176_0156	405	134.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	135405	136658	+	EAQ73118.1	hypothetical protein		CJJ81176_0157	1254	417.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	136655	137572	-	EAQ73389.1	tRNA-dihydrouridine synthase B	dusB	CJJ81176_0158	918	305.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	137569	138429	-	EAQ73409.2	hypothetical protein		CJJ81176_0159	861	286.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	138545	138907	-	EAQ73045.1	dnaK suppressor protein, putative		CJJ81176_0160	363	120.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	138919	139368	-	EAQ73003.1	hypothetical protein		CJJ81176_0161	450	149.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	139370	140212	-	EAQ73239.1	acetyl-CoA carboxylase, carboxyl transferase, beta subunit	accD	CJJ81176_0162	843	280.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	140221	140943	-	EAQ73415.1	Inositol monophosphatase family protein		CJJ81176_0163	723	240.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	140943	143162	-	EAQ73202.1	outer membrane protein, OMP85 family		CJJ81176_0164	2220	739.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	143239	144066	+	EAQ73151.1	prephenate dehydrogenase	tyrA	CJJ81176_0165	828	275.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	144146	145519	+	EAQ72962.1	peptidase, M23/M37 family		CJJ81176_0166	1374	457.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	145519	146403	+	EAQ73166.1	UDP-3-0-acyl N-acetylglucosamine deacetylase	lpxC	CJJ81176_0167	885	294.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	146442	146843	+	EAQ73470.2	hypothetical protein		CJJ81176_0168	402	133.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	146852	147730	+	EAQ73367.1	homoserine kinase	thrB	CJJ81176_0169	879	292.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	147755	148012	+	EAQ73293.2	hypothetical protein		CJJ81176_0170	258	85.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	147999	150614	+	EAQ73271.1	translation initiation factor IF-2	infB	CJJ81176_0171	2616	871.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	150611	150973	+	EAQ73193.1	ribosome-binding factor A	rbfA	CJJ81176_0172	363	120.0	CP000538.1
